customs value,cost
5000,562
10000,606
20000,955
40000,1413
70000,1835
100000,1982
150000,2808
170000,3328
190000,3848
210000,4368
230000,4888
250000,5408
270000,5928
290000,6448
310000,6968
330000,7488
350000,8008
370000,8528
390000,9048
410000,9568
430000,10088
450000,10608
470000,11128
490000,11648
510000,12168
530000,12688
550000,13208
570000,13728
590000,14248
610000,14768
630000,15288
650000,15808
670000,16328
690000,16848
710000,17368
730000,17888
750000,18408
770000,18928
790000,19448
810000,19968
830000,20488
850000,21008
870000,21528
890000,22048
910000,22568
930000,23088
950000,23608
970000,24128
990000,24648
1010000,25168
1030000,25688
1050000,26208
1070000,26728
1090000,27248
1110000,27768
1130000,28288
1150000,28808
1170000,29328
1190000,29848
1210000,30368
1230000,30888
1250000,31408
1270000,31928
1290000,32448
1310000,32968
1330000,33488
1350000,34008
1370000,34528
1390000,35048
1410000,35568
1430000,36088
1450000,36608
1470000,37128
1490000,37648
1510000,38168
1530000,38688
1550000,39208
1570000,39728
1590000,40248
1610000,40768
1630000,41288
1650000,41808
1670000,42328
1690000,42848
1710000,43368
1730000,43888
1750000,44408
1770000,44928
1790000,45448
1810000,45968
1830000,46488
1850000,47008
1870000,47528
1890000,48048
1910000,48568
1930000,49088
1950000,49608
1970000,50128
1990000,50648
2010000,51168
2030000,51688
2050000,52208
2070000,52728
2090000,53248
2110000,53768
2130000,54288
2150000,54808
2170000,55328
2190000,55848
2210000,56368
2230000,56888
2250000,57408
2270000,57928
2290000,58448
2310000,58968
2330000,59488
2350000,60008
2370000,60528
2390000,61048
2410000,61568
2430000,62088
2450000,62608
2470000,63128
2490000,63648
2510000,64168
2530000,64688
2550000,65208
2570000,65728
2590000,66248
2610000,66768
2630000,67288
2650000,67808
2670000,68328
2690000,68848
2710000,69368
2730000,69888
2750000,70408
2770000,70928
2790000,71448
2810000,71968
2830000,72488
2850000,73008
2870000,73528
2890000,74048
2910000,74568
2930000,75088
2950000,75608
2970000,76128
2990000,76648
3010000,77168
